"filename", "language", "Markdown", "XML", "C++", "HTML", "CSS", "TeX", "Batch", "JavaScript", "LaTeX", "Makefile", "comment", "blank", "total"
"d:\Code\CCplot\install\include\animationprop.h", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13
"d:\Code\CCplot\install\include\axisprop.h", "C++", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 8, 28
"d:\Code\CCplot\install\include\ccplot.h", "C++", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 26, 15, 61
"d:\Code\CCplot\install\include\ccplotbase.h", "C++", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 6, 19
"d:\Code\CCplot\install\include\ccplotelements.h", "C++", 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 92, 30, 178
"d:\Code\CCplot\install\include\ccplotinterication.h", "C++", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 47, 24, 101
"d:\Code\CCplot\install\include\ccplotlayout.h", "C++", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 67, 32, 141
"d:\Code\CCplot\install\include\curveprop.h", "C++", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 8, 30
"d:\Code\CCplot\install\include\plotprop.h", "C++", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 8, 37
"d:\Code\CCplot\install\include\point.h", "C++", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 8, 23
"d:\Code\CCplot\install\include\printprop.h", "C++", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 8, 29
"d:\Code\CCplot\install\include\qcustomplot.h", "C++", 0, 0, 4959, 0, 0, 0, 0, 0, 0, 0, 1750, 1029, 7738
"d:\Code\CCplot\install\include\rangeprop.h", "C++", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 6, 16
"d:\Code\CCplot\install\include\setaxis.h", "C++", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 11, 32
"d:\Code\CCplot\install\include\setcurve.h", "C++", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 4, 11, 37
"d:\Code\CCplot\install\include\setplot.h", "C++", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 4, 15, 45
"d:\Code\CCplot\install\include\setprint.h", "C++", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 13, 35
"d:\Code\CCplot\install\include\titleprop.h", "C++", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 7, 20
"d:\Code\CCplot\source\base\ccplot.cpp", "C++", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 4, 12, 45
"d:\Code\CCplot\source\base\ccplot.h", "C++", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 26, 15, 61
"d:\Code\CCplot\source\base\ccplotbase.cpp", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12
"d:\Code\CCplot\source\base\ccplotbase.h", "C++", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 6, 19
"d:\Code\CCplot\source\base\ccplotelements.cpp", "C++", 0, 0, 239, 0, 0, 0, 0, 0, 0, 0, 1, 57, 297
"d:\Code\CCplot\source\base\ccplotelements.h", "C++", 0, 0, 56, 0, 0, 0, 0, 0, 0, 0, 92, 30, 178
"d:\Code\CCplot\source\base\ccplotinterication.cpp", "C++", 0, 0, 364, 0, 0, 0, 0, 0, 0, 0, 41, 62, 467
"d:\Code\CCplot\source\base\ccplotinterication.h", "C++", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 47, 24, 101
"d:\Code\CCplot\source\base\ccplotlayout.cpp", "C++", 0, 0, 93, 0, 0, 0, 0, 0, 0, 0, 3, 25, 121
"d:\Code\CCplot\source\base\ccplotlayout.h", "C++", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 67, 32, 141
"d:\Code\CCplot\source\dialog\setaxis.cpp", "C++", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 7, 28
"d:\Code\CCplot\source\dialog\setaxis.h", "C++", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 11, 32
"d:\Code\CCplot\source\dialog\setcurve.cpp", "C++", 0, 0, 43, 0, 0, 0, 0, 0, 0, 0, 1, 12, 56
"d:\Code\CCplot\source\dialog\setcurve.h", "C++", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 4, 11, 37
"d:\Code\CCplot\source\dialog\setplot.cpp", "C++", 0, 0, 123, 0, 0, 0, 0, 0, 0, 0, 15, 23, 161
"d:\Code\CCplot\source\dialog\setplot.h", "C++", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 4, 15, 45
"d:\Code\CCplot\source\dialog\setprint.cpp", "C++", 0, 0, 42, 0, 0, 0, 0, 0, 0, 0, 1, 11, 54
"d:\Code\CCplot\source\dialog\setprint.h", "C++", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 13, 35
"d:\Code\CCplot\source\main.cpp", "C++", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
"d:\Code\CCplot\source\prop\animationprop.cpp", "C++", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14
"d:\Code\CCplot\source\prop\animationprop.h", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13
"d:\Code\CCplot\source\prop\axisprop.cpp", "C++", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 6, 20
"d:\Code\CCplot\source\prop\axisprop.h", "C++", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 8, 28
"d:\Code\CCplot\source\prop\curveprop.cpp", "C++", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 7, 29
"d:\Code\CCplot\source\prop\curveprop.h", "C++", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 8, 30
"d:\Code\CCplot\source\prop\plotprop.cpp", "C++", 0, 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 4, 26
"d:\Code\CCplot\source\prop\plotprop.h", "C++", 0, 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 8, 37
"d:\Code\CCplot\source\prop\point.h", "C++", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 0, 8, 23
"d:\Code\CCplot\source\prop\printprop.cpp", "C++", 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 3, 14
"d:\Code\CCplot\source\prop\printprop.h", "C++", 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 8, 29
"d:\Code\CCplot\source\prop\rangeprop.cpp", "C++", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14
"d:\Code\CCplot\source\prop\rangeprop.h", "C++", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 6, 16
"d:\Code\CCplot\source\prop\titleprop.cpp", "C++", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 6, 15
"d:\Code\CCplot\source\prop\titleprop.h", "C++", 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 7, 20
"d:\Code\CCplot\source\qcustomplot\qcustomplot.cpp", "C++", 0, 0, 18533, 0, 0, 0, 0, 0, 0, 0, 14337, 2627, 35497
"d:\Code\CCplot\source\qcustomplot\qcustomplot.h", "C++", 0, 0, 4959, 0, 0, 0, 0, 0, 0, 0, 1750, 1029, 7738
"Total", "-", 1, 143, 30297, 151, 1709, 3317, 47, 882, 149, 22, 18878, 5890, 61486
